document_id,sentence_id,sentence_index_within_document,sentence_text,category,title,source_label,url,source_type,page_count,document_subtype,prev_sentence,next_sentence,contains_equity,contains_equities,contains_health_equity,contains_related_terms,is_definition_sentence,word_count,char_count,sentence_length_tokens,weak_label,predicted_label,prediction_confidence
doc_2d830432db58,doc_2d830432db58_s00000,0,"eveloping Health Equity Measures Prepared for the Office of the Assistant Secretary for Planning and Evaluation (ASPE) at the U.S. Department of Health & Human Services by RAND H ealth Care May 2021 Office of the Assistant Secretary for Planning and Evaluation The Assistant Secretary for Planning and Evaluation (ASPE) advises the Secretary of the U.S. Department of Health and Human Services (HHS) on policy development in health, disability, human services, data, and science; and provides advice and analysis on economic policy.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,,"ASPE leads special initiatives; coordinates the Department's evaluation, research, and demonstration activities; and manages cross-Department planning activities such as strategic planning, legislative planning, and review of regulations.",True,False,True,False,False,82,532,82,B_distributional,B_distributional,0.9410964425340244
doc_2d830432db58,doc_2d830432db58_s00008,8,This included the recommendations that the Centers for Medicare and Medicaid Services (CMS) include measures of health equity in public reporting and VBP programs.,federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"ASPE wrote two Reports to Congress, making recommendations based on the studies' findings.","Moreover, in the ASPE commissioned report, Systems Practices for the Care of Socially At-Risk Populations, the National Academies of Sciences, Engineering, and Medicine calls out a commitment to health equity as one of six promising practices to improve care for socially at-risk populations.2 However, as Medicare's VBP programs do not currently include health equity measures, appropriate measures need to be developed and/or identified before they can be incorporated into these programs.",True,False,True,False,False,24,163,24,B_distributional,B_distributional,0.9717141500213734
doc_2d830432db58,doc_2d830432db58_s00009,9,"Moreover, in the ASPE commissioned report, Systems Practices for the Care of Socially At-Risk Populations, the National Academies of Sciences, Engineering, and Medicine calls out a commitment to health equity as one of six promising practices to improve care for socially at-risk populations.2 However, as Medicare's VBP programs do not currently include health equity measures, appropriate measures need to be developed and/or identified before they can be incorporated into these programs.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,This included the recommendations that the Centers for Medicare and Medicaid Services (CMS) include measures of health equity in public reporting and VBP programs.,"In response to this challenge, ASPE asked the RAND Corporation to develop a proposed definition of health equity as a starting place and to identify existing health equity measurement approaches that may be suitable for inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports.",True,False,True,False,False,71,491,71,B_distributional,B_distributional,0.9047685313919948
doc_2d830432db58,doc_2d830432db58_s00010,10,"In response to this challenge, ASPE asked the RAND Corporation to develop a proposed definition of health equity as a starting place and to identify existing health equity measurement approaches that may be suitable for inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"Moreover, in the ASPE commissioned report, Systems Practices for the Care of Socially At-Risk Populations, the National Academies of Sciences, Engineering, and Medicine calls out a commitment to health equity as one of six promising practices to improve care for socially at-risk populations.2 However, as Medicare's VBP programs do not currently include health equity measures, appropriate measures need to be developed and/or identified before they can be incorporated into these programs.","RAND identified 10 existing approaches to health equity measurement and convened a technical expert panel (TEP) to: (1) provide feedback on the project team's proposed definition of a health equity measure and identification of features of health equity measurement approaches; (2) develop a set of criteria for evaluating health equity measurement approaches for potential inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports; and (3) evaluate the set of health equity measurement approaches identified by the team according to these criteria.",True,False,True,False,False,46,310,46,B_distributional,B_distributional,0.9040932898647822
doc_2d830432db58,doc_2d830432db58_s00011,11,"RAND identified 10 existing approaches to health equity measurement and convened a technical expert panel (TEP) to: (1) provide feedback on the project team's proposed definition of a health equity measure and identification of features of health equity measurement approaches; (2) develop a set of criteria for evaluating health equity measurement approaches for potential inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports; and (3) evaluate the set of health equity measurement approaches identified by the team according to these criteria.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"In response to this challenge, ASPE asked the RAND Corporation to develop a proposed definition of health equity as a starting place and to identify existing health equity measurement approaches that may be suitable for inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports.","Based on input from RAND, ASPE, and the TEP, in this report RAND defines a health equity measurement approach as ""an approach to illustrating or summarizing the extent to which the quality of health care provided by an organization contributes to reducing disparities in health and health care at the population level for those patients with greater social risk factor burden by improving the care and health of those patients.""",True,False,True,False,False,83,581,83,B_distributional,B_distributional,0.9491917053201235
doc_2d830432db58,doc_2d830432db58_s00012,12,"Based on input from RAND, ASPE, and the TEP, in this report RAND defines a health equity measurement approach as ""an approach to illustrating or summarizing the extent to which the quality of health care provided by an organization contributes to reducing disparities in health and health care at the population level for those patients with greater social risk factor burden by improving the care and health of those patients.""",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"RAND identified 10 existing approaches to health equity measurement and convened a technical expert panel (TEP) to: (1) provide feedback on the project team's proposed definition of a health equity measure and identification of features of health equity measurement approaches; (2) develop a set of criteria for evaluating health equity measurement approaches for potential inclusion in Medicare's VBP programs, quality reporting efforts, and confidential reports; and (3) evaluate the set of health equity measurement approaches identified by the team according to these criteria.","We note that this definition focuses on health care quality, as that was the charge from Congress under the IMPACT Act, but measurement approaches could be considered more broadly in other contexts.",True,False,True,True,False,70,428,70,B_distributional,B_distributional,0.9112244425337441
doc_2d830432db58,doc_2d830432db58_s00014,14,The purpose of including health equity measurement approaches in VBP programs and quality reporting efforts is to motivate a focus on improving health for all by reducing disparities and to help providers prioritize particular areas for quality improvement.,federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"We note that this definition focuses on health care quality, as that was the charge from Congress under the IMPACT Act, but measurement approaches could be considered more broadly in other contexts.","It could also encourage providers to improve health equity through service enhancements, patient engagement activities, and adoption of best practices.",True,False,True,True,False,38,257,38,B_distributional,B_distributional,0.9504513719866985
doc_2d830432db58,doc_2d830432db58_s00015,15,"It could also encourage providers to improve health equity through service enhancements, patient engagement activities, and adoption of best practices.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,The purpose of including health equity measurement approaches in VBP programs and quality reporting efforts is to motivate a focus on improving health for all by reducing disparities and to help providers prioritize particular areas for quality improvement.,"Of the 10 health equity measurement approaches evaluated by the TEP (which are described in detail in the report itself), the CMS Office of Minority Health's (OMH) Health Equity Summary Score (HESS) received the highest ratings from the TEP overall.",True,False,True,False,False,20,151,20,B_distributional,B_distributional,0.8061085118026615
doc_2d830432db58,doc_2d830432db58_s00016,16,"Of the 10 health equity measurement approaches evaluated by the TEP (which are described in detail in the report itself), the CMS Office of Minority Health's (OMH) Health Equity Summary Score (HESS) received the highest ratings from the TEP overall.",federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"It could also encourage providers to improve health equity through service enhancements, patient engagement activities, and adoption of best practices.","The term ""social risk factors"" was suggested by the National Academies of Sciences, Engineering, and Medicine as discussed below.",True,False,True,False,False,40,249,40,B_distributional,B_distributional,0.9397119167420073
doc_2d830432db58,doc_2d830432db58_s00021,21,iii approach first identified those patient experience and clinical care measures that are most suitable for health equity comparisons.,federal_policy,Developing Health Equity Measures,ASPE / HHS,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,pdf,89.0,policy_report,"Washington, DC: The National Academies Press.","Then, the HESS assessed the extent to which care provided through Medicare Advantage contracts was equitable based on race, ethnicity, and dual/low-income subsidy (LIS) eligibility status.",True,False,True,False,False,19,135,19,B_distributional,B_distributional,0.8826334340285981
